word	translation	notes	date
das Holz	wood	anna s last name	2025-03-30 14:50:00
das Wort	word	bitte gibt me nur ein wort - song	2025-03-30 14:50:26
das Haarband	hairband		2025-03-30 15:12:22
das Gänseblümchen	daisy	we were running with ella and i ripped a daisy from the ground, little goose flower	2025-04-01 15:56:10
wieder	again	wieder nach muchen, context, giu	2025-04-02 12:25:03
nochmal	again	another time	2025-04-02 12:25:18
der allzweck-reiniger	all purpose cleaner	missing	2025-04-02 12:26:29
der zapfen	pine cone	we were walking with theo she kicked and said do u know what this is	2025-04-02 12:28:41
das Schwammtuch	sponge towel	square things that u clean the surfaces with in the kitchen	2025-04-02 12:31:55
fühlen	feel	i fühle dich, dm magazin	2025-04-02 12:45:45
das wiedersehen	meeting again	song, showed theo	2025-04-02 20:18:59
die Pantomime	pantomime	imitating all, acting without speaking, only gestures, facial expressions, movement	2025-04-03 08:10:00
was	what		2025-04-03 08:11:00
wo	where		2025-04-03 08:13:00
wer	who		2025-04-03 08:14:00
wie	how		2025-04-03 08:15:00
die Bürokratie	breucracy		2025-04-03 08:16:00
die Antwort	answer / reply	anti word, word in return, -t	2025-04-03 08:17:00
der Tisch	table		2025-04-03 08:18:00
das Wasser	water		2025-04-03 08:19:00
die Flasche	bottle		2025-04-03 08:21:00
die Deklination	declension	changing the form of a noun	2025-04-03 08:22:00
das Buch	book		2025-04-03 08:23:00
der Ball	ball		2025-04-03 08:24:00
der Satz	sentence		2025-04-03 08:25:00
noch einmal	one more time	once again	2025-04-03 08:32:00
das Fundament	foundation		2025-04-03 08:34:00
die Gramatik	grammar		2025-04-03 08:35:00
die Structur	structure		2025-04-03 08:36:00
der Artikel	article		2025-04-03 08:39:00
die Kasus	cases	the case sytems in german, N A D G	2025-04-03 08:39:00
das Fragezeichen	question mark	frage question, zeichen mark	2025-04-03 08:40:00
das Verkehrsmittel	means of tranfport	verkehr traffic transportation, kehren to turn, ver- to move around, mittel method, related to die mitte, meaning something serves inbetween	2025-04-03 08:41:00
die Mitte	middle		2025-04-03 08:42:00
wiederholen	to repeat		2025-04-03 08:43:00
das Verb	verb		2025-04-03 08:45:00
die Konjugation	conjugation		2025-04-03 08:46:00
oft	often		2025-04-03 08:47:00
selten	rarely		2025-04-03 08:48:00
manchmal	sometimes		2025-04-03 08:50:00
die Katastrophe	catastrophe		2025-04-03 08:51:00
bis morgen	till tomorrow		2025-04-03 08:53:00
drücken 	push		2025-04-03 10:29:11
die Lieder	songs		2025-04-04 07:51:00
ganze	whole / all		2025-04-04 07:53:00
der Possessivartikel	possesive article		2025-04-04 08:00:00
schreiben	to write		2025-04-04 08:01:00
der Stift	pen		2025-04-04 08:02:00
langsam	slowly	langsam lernen	2025-04-04 08:03:00
nehmen	to take		2025-04-04 08:15:00
stehen bleiben	to stop	stehen to stand, bleiben to stay	2025-04-04 08:22:00
das Adjektiv	adjective		2025-04-04 08:29:00
billig	cheap		2025-04-04 08:33:00
teuer	expensive		2025-04-04 08:33:00
voll	full		2025-04-04 08:35:00
leer	empty		2025-04-04 08:37:00
preiswert	good value / affordable	price worth	2025-04-04 08:42:00
sauber	clean		2025-04-04 08:52:00
schmutzig	dirty		2025-04-04 08:53:00
kostenlos	free		2025-04-04 09:01:00
pünktlich	punctual		2025-04-04 09:03:00
gern	gladly / to like		2025-04-04 09:04:00
toll	great		2025-04-04 09:05:00
kompakt	compact		2025-04-04 09:07:00
das Jahr	year		2025-04-04 09:16:00
die Jahreszeit	season	year time, time of the year	2025-04-04 09:20:00
der Frühling	spring		2025-04-04 09:21:00
der Herbst	fall		2025-04-04 09:22:00
der Winter	winter		2025-04-04 09:23:00
der Sommer	summer		2025-04-04 09:24:00
der Schabernack	mischief in a cute way	sebeklik, jakobs fav german word ig	2025-04-05 09:07:24
etwas	some / something / a little	Hast du etwas Zeit für mich?	2025-04-05 21:07:00
die Zeit	time	Hast du etwas Zeit für mich?	2025-04-05 21:10:00
das Lied	song	Dann singe ich ein Lied für dich	2025-04-05 21:11:00
vielleicht	maybe	Denkst du vielleicht grad an mich?	2025-04-05 21:17:00
der Weg	way / path	Auf ihrem Weg zum Horizont	2025-04-05 21:18:00
der Horizont	horizon	Auf ihrem Weg zum Horizont	2025-04-05 21:19:00
denken	to think	Denkst du vielleicht grad an mich?	2025-04-05 21:21:00
die Präpositionalverschmelzung	preposition merging	in dem = im	2025-04-06 09:11:00
das Satzglied	sentence part		2025-04-06 09:14:00
zufrieden	satisfied	clemens ist zufrieden mit seinem essen	2025-04-06 19:56:00
versthehen	to understand	hannes, clemens in kitchen	2025-04-06 19:58:00
die Geschwister	siblings	hannes asked if i had any siblings, ich habe keine Geschwister	2025-04-06 19:58:00
stark	cool / strong / powerful	clemens said to hannes	2025-04-06 20:03:00
schmecken	to taste	from die discounter s02e01 , to taste good not to try	2025-04-06 20:09:00
der Traum 	dream	from die discounter s02e01	2025-04-06 21:03:00
die Kühe	cows	hannes, from die discounter s02e01	2025-04-06 21:09:00
die Kuh	cow	ella - children - die kuh macht moo	2025-04-06 21:10:00
irgendwie	somehow	from die discounter s02e01, asked hannes	2025-04-06 21:54:00
irgendwo	anywhere / somewhere	from die discounter s02e01, asked hannes	2025-04-06 21:56:00
die Lokalangaben	place information	a sentence element that gives info about location, geben an gabe to give giving statement information	2025-04-07 07:05:00
die Temporalangaben	time information		2025-04-07 07:06:00
verloren	lost	ich bin verloren	2025-04-07 07:09:00
das Wetter	weather		2025-04-07 07:30:00
die Sonne	sun	die Sonne scheint	2025-04-07 07:33:00
die Wärme	warmth	es ist warm	2025-04-07 07:36:00
die Hitze	heat	es ist heiß	2025-04-07 07:39:00
die Kälte	cold	es ist kalt	2025-04-07 07:42:00
der Nebel	fog	es ist neblig	2025-04-07 07:45:00
der Wind	wind	es ist windig	2025-04-07 07:48:00
der Regen	rain	es regnet	2025-04-07 07:51:00
der Schnee	snow	clemens - Das ist schnee von Gestern	2025-04-07 07:54:00
die Lieblingsjahreszeit	favourite season		2025-04-07 08:00:00
der Lieblingsmonat	favourite month		2025-04-07 08:03:00
werden	to become	ich werde besser in Deutsch	2025-04-07 08:06:00
besser	better	ich werde besser in Deutsch	2025-04-07 08:09:00
Ski fahren	to ski	pronounced SHEE	2025-04-07 08:12:00
Blumen pflanzen	to plant flowers		2025-04-07 08:15:00
Sport treiben	to do sports		2025-04-07 08:18:00
der Himmel	sky		2025-04-07 08:21:00
mögen	to like		2025-04-07 08:24:00
gern	enjoy doing		2025-04-07 08:27:00
das Verb	verb		2025-04-07 08:30:00
machen	to do / make	gemacht	2025-04-07 08:33:00
anrufen	to call (someone by phone)	angerufen , ich rufe … an , an: to / at / towards , rufen: to call / shout , Ruf: reputation / call , Beruf: proffession / caling	2025-04-07 08:36:00
können	can / to be able to		2025-04-07 08:40:00
sollen	should / to be supposed to		2025-04-07 08:43:00
wollen	want to		2025-04-07 08:46:00
dürfen	may / to be allowed to		2025-04-07 08:49:00
müssen	must / have to		2025-04-07 08:52:00
der Tag	day		2025-04-07 08:55:00
der Morgen	morning		2025-04-07 08:58:00
der Vormittag	before noon	10-12	2025-04-07 09:01:00
der Mittag	noon	12-15	2025-04-07 09:04:00
der Nachmittag	after noon	15-18	2025-04-07 09:07:00
der Abend	evening	18-21	2025-04-07 09:10:00
der Nacht	night	22-6	2025-04-07 09:13:00
die Richtungsangaben	direction information	direction giving part of the sentence	2025-04-07 09:16:00
die Türkei	Türkiye		2025-04-07 09:19:00
die Ukraine	Ukraine		2025-04-07 09:22:00
die Schweiz	Switzerland		2025-04-07 09:25:00
die USA	USA	plural	2025-04-07 09:28:00
die Niederlande	Netherlands	plural, nieder (niedrigen) low, lande lands	2025-04-07 09:31:00
die Insel	island		2025-04-07 09:34:00
das Meer	sea		2025-04-07 09:37:00
die Gabel	fork	bitte gibt me nur ein wort theo, do u know what die Gabel is?	2025-04-07 19:15:53
der Löffel	spoon	bitte gibt me nur ein wort theo, und der Löffel	2025-04-07 19:16:00
mögen	to like		2025-04-08 07:09:00
möchten	would like		2025-04-08 07:12:00
wollen	to want		2025-04-08 07:15:00
dauern	to last / to take		2025-04-08 07:18:00
Kreta	Crete	Greek island	2025-04-08 07:21:00
das Museum	museum	in das = ins , In der Turkei will Sie ins Museum gehen	2025-04-08 07:24:00
die Präposition	preposition		2025-04-08 07:27:00
sich entspannen	to relax yourself		2025-04-08 07:30:00
das Reflexivverb	a verb that reflects back to the subject		2025-04-08 07:39:00
Genial	brilliant		2025-04-08 07:42:00
die Eltern	parents		2025-04-08 07:45:00
die Freunde	friends		2025-04-08 07:48:00
besuchen	to visit	Meine Eltern und meine Freunde besuchen	2025-04-08 07:51:00
der Urlaub	vacation		2025-04-08 07:54:00
wohin	where to	in + Akk	2025-04-08 08:01:00
das Verb	verb		2025-04-08 08:04:00
das Präsens	present tense		2025-04-08 08:07:00
aktuelle	current	aktuelle Zeit	2025-04-08 08:10:00
die Zeit	time	aktuelle Zeit	2025-04-08 08:13:00
der Alltag	daily life		2025-04-08 08:16:00
fernsehen	to watch TV	ferngesehen, fern: far , sehen: to see	2025-04-08 08:19:00
faulenzen	to chill	faul: lazy, to rot	2025-04-08 08:22:00
lesen	to read	gelesen	2025-04-08 08:25:00
die Zeitung	newspaper	-ung always feminine	2025-04-08 08:28:00
Zeitung lesen	to read the newspaper		2025-04-08 08:31:00
der Staub	dust		2025-04-08 08:34:00
saugen	to suck		2025-04-08 08:37:00
Staub saugen	to vacuum		2025-04-08 08:40:00
das Geschirr	dishes		2025-04-08 08:43:00
spülen	to rinse		2025-04-08 08:46:00
Geschirr spülen	to wash the dishes		2025-04-08 08:49:00
die Kneipe	pub / bar		2025-04-08 08:52:00
sitzen	to sit		2025-04-08 08:55:00
in der Kneipe sitzen	to sit in the pub / bar		2025-04-08 08:58:00
die Waschmaschine	washing machine		2025-04-08 09:01:00
telefonieren	to talk on the phone	mit + D	2025-04-08 09:04:00
die Kollegen	colleagues		2025-04-08 09:10:00
sprechen	to speak		2025-04-08 09:13:00
mit Freunden oder Kollegen sprechen	to speak with friends or colleagues		2025-04-08 09:16:00
online kommuniziern	to communicate online		2025-04-08 09:19:00
die E-mails	emails		2025-04-08 09:22:00
beantworten	to answer / reply to		2025-04-08 09:28:00
E-mails lesen und beantworten	to read and reply to emails		2025-04-08 09:31:00
die Besprechung	meeting		2025-04-08 09:34:00
teilnehmen	to take part	teilgenommen , teil: part , nehmen: to take	2025-04-08 09:37:00
an einer Besprechung teilnehmen	to participate in a meeting	ich nehme am einer Besprechung teil	2025-04-08 09:40:00
ausgehen	to go out	ausgegangen	2025-04-08 09:43:00
die Party	party		2025-04-08 09:46:00
die Partys	parties		2025-04-08 09:49:00
feiern	to celebrate		2025-04-08 09:52:00
Partys feiern	to throw partys		2025-04-08 09:55:00
das Projekt	project		2025-04-08 09:58:00
präsentieren	to present		2025-04-08 10:01:00
ein Projekt präsentieren	to present a project		2025-04-08 10:04:00
die Lebensmittel	groceries	lebens: life‘s , mittel: means , means of life	2025-04-08 10:07:00
einkaufen	to shop	ein: in , kaufen: to buy	2025-04-08 10:10:00
Lebensmittel einkaufen	to shop for groceries		2025-04-08 10:13:00
das Dokument -e	documents		2025-04-08 10:16:00
ausdrucken	to print out	aus: out , drucken: to push / to print	2025-04-08 10:19:00
Dokumente ausdrucken	to print out documents		2025-04-08 10:22:00
das Fahrrad	bicycle	fahr: riding, rad: wheel	2025-04-08 10:25:00
Fahrrad fahren	to ride bicycle		2025-04-08 10:28:00
spazieren gehen	to go for a walk	spazieren: to move in space , gehen: to go	2025-04-08 10:31:00
das Wochenende	weekend		2025-04-08 10:34:00
putzen	to clean	ich putze meine Wohnung	2025-04-08 10:37:00
die Wohnung	a place where one lives	ich putze meine Wohnung	2025-04-08 10:40:00
kochen	to cook	gekocht , ich koche gern	2025-04-08 10:43:00
treffen	to meet	ich treffe meine Freunde	2025-04-08 10:46:00
übersetzen	to translate	manchmal übersetze ich Lieder (aus dem Deutchen ins Englische)	2025-04-08 10:52:00
der Wald	Forest		2025-04-08 10:55:00
essen	to eat		2025-04-08 10:58:00
das Essen	food		2025-04-08 11:01:00
tanzen	to dance		2025-04-08 11:04:00
das Tanzen	act of dancing		2025-04-08 11:07:00
der Tanz	dance event		2025-04-08 11:10:00
backen	to bake	gebacken	2025-04-08 11:13:00
das Backen	act of baking		2025-04-08 11:16:00
das Gebäck	pastry		2025-04-08 11:19:00
wie bitte?	sorry, what?		2025-04-08 11:22:00
duschen	to shower		2025-04-09 07:09:00
-keit	a noun forming suffix	-ness -ity , adjectives -> nouns , always feminine	2025-04-09 07:12:00
kaufen	to buy		2025-04-09 07:15:00
das Perfekt	perfect tense	to describe past actions that are completed	2025-04-09 07:18:00
gestern	yesterday		2025-04-09 07:21:00
das Hilfsverben	auxilary verb	die Hilsverben: haben sein werden	2025-04-09 07:24:00
